,a0.0005,a0.00232,a0.01077,a0.05
0,44,67,1,36
1,64,44,47,30
2,21,27,15,96
3,78,47,33,91
4,15,25,44,47
5,67,55,5,7
6,47,37,54,44
7,25,60,38,64
8,55,81,13,5
9,68,83,27,1
10,37,26,60,78
11,27,86,26,54
12,60,61,86,66
13,81,15,61,46
14,77,33,81,80
15,20,38,7,15
16,63,68,66,33
17,83,57,96,62
18,33,99,91,38
19,99,10,57,31
20,53,89,62,8
21,36,22,83,35
22,38,13,31,24
23,7,0,8,68
24,57,53,35,99
25,62,5,78,53
26,34,62,32,43
27,30,85,29,10
28,85,23,24,89
29,12,16,89,22
30,2,95,68,13
31,23,17,77,83
32,51,78,20,85
33,16,31,63,16
34,31,43,34,98
35,95,66,12,32
36,8,8,2,69
37,41,35,51,82
38,52,59,52,88
39,96,32,99,19
40,45,24,10,49
41,35,64,22,25
42,11,80,85,75
43,82,48,0,55
44,91,1,25,37
45,43,54,55,23
46,59,84,23,95
47,87,40,37,0
48,80,28,16,17
49,5,76,95,39
50,50,11,17,3
51,10,87,45,58
52,54,96,79,90
53,1,91,74,93
54,48,77,50,77
55,13,20,14,20
56,66,63,18,63
57,28,7,53,2
58,89,21,59,51
59,22,34,69,34
60,94,12,4,12
61,32,2,28,94
62,24,51,48,9
63,98,94,43,52
64,84,82,94,45
65,26,52,82,74
66,46,45,9,71
67,9,9,11,29
68,56,98,88,50
69,40,46,46,79
70,86,41,19,18
71,61,56,42,97
72,88,49,41,42
73,49,72,87,92
74,92,92,98,65
75,29,29,56,41
76,69,39,72,48
77,39,69,70,59
78,3,36,6,14
79,74,65,90,4
80,70,3,49,28
81,0,30,39,70
82,65,88,3,6
83,17,70,58,21
84,6,74,93,73
85,72,6,71,56
86,19,19,75,72
87,58,58,97,67
88,90,50,92,11
89,79,90,65,27
90,14,79,36,81
91,93,93,21,87
92,71,14,30,60
93,18,18,73,57
94,42,71,76,26
95,97,4,84,86
96,75,75,40,61
97,73,97,67,84
98,76,73,64,40
99,4,42,80,76
