,binarize,graph_type,param_key,res,seed,threshold,modularity
0,True,Gad,KiddeBlackfoot,0.2,67906046,0,0.3209214504459802
1,True,Gad,LudwigHorowitz,0.2,35731949,1,0.3644386020919276
2,True,Gad,JimenezEinstein,0.2,64021743,2,0.4020020927019085
3,True,Gad,HelmholtzBonaventure,0.2,63247510,3,0.42677496728924225
4,True,Gad,SanfordStromberg,0.3,63467879,0,0.37631024166779303
5,True,Gad,RutherfordBrice,0.3,7062318,1,0.4103209092052396
6,True,Gad,LibrevilleEnglishman,0.3,95805433,2,0.4336231741153444
7,True,Gad,ValeriePulitzer,0.3,58508177,3,0.4646540323911925
8,True,Gad,EurasiaChurchill,0.4,80562576,0,0.4046151968846817
9,True,Gad,PerleHerschel,0.4,57833181,1,0.4398644155939737
10,True,Gad,PuritanArmageddon,0.4,5804812,2,0.46282635294817887
11,True,Gad,MoenHadley,0.4,20828000,3,0.48246604677958543
12,False,Gad,NipponPl,0.2,34157177,0,0.4141918082301907
13,False,Gad,OstranderMonterey,0.2,86279683,1,0.4329251653777641
14,False,Gad,MindanaoDebby,0.2,9444304,2,0.45010370087067403
15,False,Gad,FilipinoTitus,0.2,30761958,3,0.4703199122724052
16,False,Gad,HoustonHoffman,0.3,13633939,0,0.45017930480040746
17,False,Gad,ShreveportBahrein,0.3,63780830,1,0.47076080354867733
18,False,Gad,ClarenceCepheus,0.3,42722683,2,0.4951516887650843
19,False,Gad,HillcrestDuncan,0.3,82165940,3,0.49950846363605306
20,False,Gad,HymanBlum,0.4,86895335,0,0.472494172821635
21,False,Gad,MalagasyCarrie,0.4,10184072,1,0.49438962410398446
22,False,Gad,PeaseRinehart,0.4,42079350,2,0.5104526589785815
23,False,Gad,ConleySaratoga,0.4,23710243,3,0.5306324260002101
24,True,Gad,DoricPygmalion,0.2,36337324,0,0.32765033766951746
25,True,Gad,DelGullah,0.2,8601141,1,0.3682132342107102
26,True,Gad,IanPoynting,0.2,42142553,2,0.4039029957073207
27,True,Gad,HollisterPearce,0.2,92852094,3,0.4293004708790445
28,True,Gad,HanukkahBaylor,0.3,12462458,0,0.3687087158499429
29,True,Gad,LaredoBryant,0.3,11125375,1,0.4091971560110421
30,True,Gad,BradyAbelian,0.3,15774486,2,0.44165235950331244
31,True,Gad,CoolidgeBirmingham,0.3,58704478,3,0.4542184604956236
32,True,Gad,SommerfeldRothschild,0.4,75895370,0,0.3985742215319679
33,True,Gad,MarianneCarbondale,0.4,21045642,1,0.4366293561303679
34,True,Gad,MarilynRowe,0.4,41798265,2,0.4619610142137703
35,True,Gad,BoltonPaulson,0.4,41484114,3,0.48417269534733826
36,False,Gad,ElbaHerman,0.2,47407465,0,0.41003873230182303
37,False,Gad,KaskaskiaGainesville,0.2,97450720,1,0.4350177191693339
38,False,Gad,CardiffBeardsley,0.2,6399198,2,0.4544546436049042
39,False,Gad,OvidGreece,0.2,23777934,3,0.4684561535129009
40,False,Gad,McMullenMarriott,0.3,60007810,0,0.45497583791122953
41,False,Gad,AdelePickford,0.3,92474178,1,0.4704895844610787
42,False,Gad,StyxBahrein,0.3,36882430,2,0.4916771632311409
43,False,Gad,CarruthersPict,0.3,87425378,3,0.5123247214919298
44,False,Gad,WoodardTenneco,0.4,42288081,0,0.47551329404612525
45,False,Gad,WeierstrassBernice,0.4,72981033,1,0.4885582467443195
46,False,Gad,MoroccoHalsey,0.4,99609304,2,0.5154011185643631
47,False,Gad,HelmutDerek,0.4,5934884,3,0.5340154310548837
48,True,Gad,MacassarNorton,0.2,89193843,0,0.33023824349986836
49,True,Gad,ZanzibarCreole,0.2,80489839,1,0.37057815969554597
50,True,Gad,MoroccoFaustian,0.2,1399088,2,0.40406905165284546
51,True,Gad,AriesAustralia,0.2,37376331,3,0.42309048288782175
52,True,Gad,LodowickLaurie,0.3,8160264,0,0.37287556518088877
53,True,Gad,HuntsvilleSolon,0.3,22554556,1,0.4179609006927088
54,True,Gad,KilimanjaroIsis,0.3,91000422,2,0.4469696282292629
55,True,Gad,GranvilleSaul,0.3,89355375,3,0.46632852004934616
56,True,Gad,FahrenheitDusenbury,0.4,80375888,0,0.3988380530835985
57,True,Gad,LindseySiegmund,0.4,22335314,1,0.4318520671201577
58,True,Gad,IranianParaguay,0.4,56545588,2,0.4607615077482706
59,True,Gad,HathawayFrench,0.4,32545311,3,0.48180583885943273
60,False,Gad,RicoAlsop,0.2,14456620,0,0.41081100349513977
61,False,Gad,CorinthianOhio,0.2,99763170,1,0.4312742824485072
62,False,Gad,KnutsonGuthrie,0.2,8210940,2,0.46015688256041754
63,False,Gad,ConnorsMcCarty,0.2,95161119,3,0.46444854870753355
64,False,Gad,MarriettaCain,0.3,78186145,0,0.44524226649803084
65,False,Gad,BengalOakland,0.3,84590684,1,0.4696553735450673
66,False,Gad,EssexBoeotia,0.3,88875591,2,0.49359484925056096
67,False,Gad,GreenblattClinton,0.3,61861562,3,0.5109252227981327
68,False,Gad,SriPritchard,0.4,4492229,0,0.46397322524727397
69,False,Gad,PearceSchafer,0.4,44119240,1,0.4860777865545474
70,False,Gad,UlanConnecticut,0.4,58782060,2,0.506562991110574
71,False,Gad,PatrickDante,0.4,8832047,3,0.5301749891600399
